,_unit_id,bodygraph,decision,modified bodygraph,new decision
268,1702137368,"The incident provoked an international outcry and led to a major deterioration in relations between Turkey and Israel . Before departing for Jordan on Friday afternoon , Mr Obama revealed that Mr Netanyahu and Mr Erdogan had just spoken by telephone .",before,"The incident provoked an international outcry and led to a major deterioration in relations between Turkey and Israel . Before the incident , Mr Obama revealed that Mr Netanyahu and Mr Erdogan had just spoken by telephone .",after
220,1702137412,"BBC forecasters said the snow would cause travel disruption across northern parts of the UK on Friday , with some 20cm-40cm ( 8in-16in ) falling in places .",before,"BBC forecasters said the snow had caused travel disruption across northern parts of the UK on Friday , with some 20cm-40cm ( 8in-16in ) falling in places .",after
380,1702137538,"Li Keqiang , the new prime minister , said the air pollution had made him "" quite upset "" and vowed to "" show even greater resolve and make more vigorous efforts "" to clean it up .",before,"Li Keqiang , the new prime minister , vowed to "" show even greater resolve and make more vigorous efforts "" to clean it up since the air pollution had made him "" quite upset "" .",after 
231,1702137168,"Mr. Erdogan has long sought an apology for the raid in May 2010 on the Mavi Marmara , which was part of a flotilla that sought to break Israel 's blockade of Gaza . An Israeli raid on the ship left nine passengers dead , all of them Turkish or of Turkish descent .",before,"An Israeli raid on the ship , Mavi Marmara , left nine passengers dead , all of them Turkish or of Turkish descent . Mr. Erdogan has long sought an apology for the raid in May 2010 on the ship , which was part of a flotilla that sought to break Israel 's blockade of Gaza .",after
75,1702137227,"The effects of the law will vary widely , and insurers and other analysts agree that some consumers and small businesses will likely see premiums go down .",after,"The effects of the law vary widely , and insurers and other analysts agree that some consumers and small businesses will likely see premiums go down .",vague
275,1702137060,"The FAA on Friday announced it will close 149 regional airport control towers because of forced spending cuts -- sparing 40 others that the FAA had been expected to shutter . A four-week , phased closure of the 149 control towers will begin on April 7 , the FAA said .",before,"The FAA on Friday announced it will close 149 regional airport control towers because of forced spending cuts -- sparing 40 others that the FAA had been expected to shutter . A four-week , phased closure of the 149 control towers had begun on April 7 , the FAA said .",after
110,1702137057,The FAA on Friday announced it will close 149 regional airport control towers because of forced spending cuts -- sparing 40 others that the FAA had been expected to shutter .,before,The FAA on Friday announced it will spare 149 regional airport control towers despite of forced spending cuts -- closing 40 others that the FAA had been expected to keep .,after
131,1702137319,"Mr Erdogan 's office said he had accepted the apology , "" in the name of the Turkish people "" . In the past , he has always given two conditions for restoring bilateral relations with Israel - an apology and compensation for victims ' families .",after,"In the past , Mr Erdogan has always given two conditions for restoring bilateral relations with Israel - an apology and compensation for victims ' families . His office said he had accepted the apology , "" in the name of the Turkish people "" .",before
285,1702137666,""" We are growing in number , "" said Senator Amy Klobuchar , Democrat of Minnesota .",before,"Senator Amy Klobuchar , Democrat of Minnesota , said : "" We are growing in number . """,after
420,1702137631,"An hour before her colleagues gathered for their first vote of a new Congress , Senator Kelly Ayotte slipped into an empty Senate chamber to savor the grandeur of her legislative home . As Ms. Ayotte , a freshman Republican from New Hampshire , sat down at the wooden desk where generations of lawmakers from her state had cast their votes , a doorman marched toward her with purpose .",after,"An hour before her colleagues gathered for their first vote of a new Congress , Senator Kelly Ayotte slipped into an empty Senate chamber to savor the grandeur of her legislative home . As Ms. Ayotte , a freshman Republican from New Hampshire , sat down at the wooden desk where generations of lawmakers from her state are expected to cast their votes , a doorman marched toward her with purpose .",before 
126,1702137417,"Atrocious conditions could be expected on high ground , they said .",before,"Atrocious conditions would be expected on high ground , they said .",after
205,1702137423,"Oil giant BP has said it will buy back $8bn of shares , returning to shareholders the money they had put into a complicated Russian venture .",before,"Oil giant BP has said it will return to shareholders the money they had put into a complicated Russian venture , buying back $8bn of shares , .",after
340,1702137645,"In the 90 years since Rebecca Felton of Georgia became the first woman in the United States Senate - sworn in for a mere 24 hours - women remain an anomaly in the upper chamber . But with 20 female senators now in office , an all-time high , women have morphed from the curiosity they were for much of the 20th century into an important new force on key committees and legislation .",before,"With 20 female senators now in office , an all-time high , women have morphed from the curiosity they were for much of the 20th century into an important new force on key committees and legislation . In the 90 years since Rebecca Felton of Georgia became the first woman in the United States Senate - sworn in for a mere 24 hours - women remain an anomaly in the upper chamber .",after 
15,1702137266,"It had a multiplying effect . "" We were pleased that England and New Zealand knew about it , and we thought that 's where it would stop . """,before,"It will have a multiplying effect . "" We were pleased that England and New Zealand knew about it , and we thought that 's where it would stop . """,after
233,1702137434,"BP chairman Carl-Henric Svanberg said : "" We expect our stake in Rosneft will generate long-term value for BP and its shareholders .",after,"BP chairman Carl-Henric Svanberg said : "" We will know if our stake in Rosneft will generate long-term value for BP and its shareholders .",before
53,1702137456,"As well as internal wrangles , BP employees at TNK-BP have fallen foul of Russian authorities . While serving as head of TNK-BP , Bob Dudley - now the head of BP as a whole - had his office bugged and raided by the police and met with onerous back-tax demands , legal action and visa problems .",after,"While serving as head of TNK-BP , Bob Dudley - now the head of BP as a whole - had his office bugged and raided by the police and met with onerous back-tax demands , legal action and visa problems . As well as internal wrangles , BP employees at TNK-BP have fallen foul of Russian authorities .",before
198,1702136912,"One exception was the swine flu pandemic of 2009-2010 , when 348 children died . The CDC recommends that all children ages 6 months and older be vaccinated against flu each season , though only about half get a flu shot or nasal spray .",after,"One exception was the swine flu pandemic of 2009-2010 , when 348 children died . The CDC then started torecommend that all children ages 6 months and older be vaccinated against flu each season , though only about half got a flu shot or nasal spray .",before
241,1702136993,"The day before Raymond Roth was pulled over , his wife , Evana , showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death . Raymond Roth wanted his wife and son to collect at least $410,000 in life insurance benefits while he started a new life in Florida , Rice said .",after,"Raymond Roth wanted his wife and son to collect at least $410,000 in life insurance benefits while he started a new life in Florida , Rice said . The day before Raymond Roth was pulled over , his wife , Evana , showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death .",before
121,1702137692,"While partisan division is the central characteristic of the modern Congress , women have begun to crack away at the gridlock by forming coalitions that have surprised leaders of both parties . Senator Kirsten E. Gillibrand , Democrat of New York , and Senator Susan Collins , Republican of Maine , led the repeal in the Senate of "" do n't ask , do n't tell "" in 2010 , allowing gay men and women to serve openly in the military .",before,"Senator Kirsten E. Gillibrand , Democrat of New York , and Senator Susan Collins , Republican of Maine , led the repeal in the Senate of "" do n't ask , do n't tell "" in 2010 , allowing gay men and women to serve openly in the military . While women have begun to crack away at the gridlock by forming coalitions that have surprised leaders of both parties , partisan division is the central characteristic of the modern Congress .",after
88,1702137299,""" He was involved in two of the most important explorations of the 20th Century ... yet remained a humble , happy man right to the end ... an inspirational lesson to us all . "" Before retiring in 1984 , Mr Lowe worked as an Inspector of Schools with the Department of Education and Sciences , and he leaves three sons from a previous marriage .",before,""" He was involved in two of the most important explorations of the 20th Century ... yet remained a humble , happy man right to the end ... an inspirational lesson to us all . "" Before retiring in 1984 , Mr Lowe worked as an Inspector of Schools with the Department of Education and Sciences , and he left three sons from a previous marriage .",vague
